SeniorCitizen,tenure,MonthlyCharges,TotalCharges,Churn,AverageMonthlySpend,gender_Male,Partner_Yes,Dependents_Yes,PhoneService_Yes,MultipleLines_No phone service,MultipleLines_Yes,InternetService_Fiber optic,InternetService_No,OnlineSecurity_No internet service,OnlineSecurity_Yes,OnlineBackup_No internet service,OnlineBackup_Yes,DeviceProtection_No internet service,DeviceProtection_Yes,TechSupport_No internet service,TechSupport_Yes,StreamingTV_No internet service,StreamingTV_Yes,StreamingMovies_No internet service,StreamingMovies_Yes,Contract_One year,Contract_Two year,PaperlessBilling_Yes,PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check,predicted_churn,Churn_Probability,CLV,Priority_Score,Priority_Level,Retention_Action
0,1,29.85,29.85,0,14.925,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0.738541798527254,29.85,51.8,Medium,Welcome Offer + Personalized Email
0,34,56.95,1889.5,0,53.98571428571429,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0.12054375212722365,1936.3000000000002,15.23,Low,Regular Promotional Email
0,2,53.85,108.15,1,36.05,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0.6954011314026409,107.7,49.06,Medium,Welcome Offer + Personalized Email
0,45,42.3,1840.75,0,40.016304347826086,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0.10040451151249072,1903.4999999999998,13.71,Low,Regular Promotional Email
0,2,70.7,151.65,1,50.55,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0.8419605243519989,141.4,59.43,Medium,Welcome Offer + Personalized Email
0,8,99.65,820.5,1,91.16666666666669,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,1,0.9110445990400725,797.2,66.57,High,20% Discount
0,22,89.1,1949.4,0,84.75652173913043,1,0,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0.6181065908059581,1960.1999999999998,50.15,Medium,10% Discount + Plan Upgrade Recommendation
0,10,29.75,301.9,0,27.44545454545454,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.40382637965186735,297.5,29.31,Low,Regular Promotional Email
0,28,104.8,3046.05,1,105.03620689655172,0,1,0,1,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0.7474515072431099,2934.4,62.62,High,20% Discount
0,62,56.15,3487.95,0,55.364285714285714,1,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.10032362639266754,3481.2999999999997,19.24,Low,Regular Promotional Email
0,13,49.95,587.45,0,41.96071428571429,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0.3248494781803617,649.35,25.02,Low,Regular Promotional Email
0,16,18.95,326.8,0,19.223529411764705,1,0,0,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,0,0,0.07635170965066407,303.2,6.41,Low,Regular Promotional Email
