SeniorCitizen,tenure,MonthlyCharges,TotalCharges,Churn,AverageMonthlySpend,gender_Male,Partner_Yes,Dependents_Yes,PhoneService_Yes,MultipleLines_No phone service,MultipleLines_Yes,InternetService_Fiber optic,InternetService_No,OnlineSecurity_No internet service,OnlineSecurity_Yes,OnlineBackup_No internet service,OnlineBackup_Yes,DeviceProtection_No internet service,DeviceProtection_Yes,TechSupport_No internet service,TechSupport_Yes,StreamingTV_No internet service,StreamingTV_Yes,StreamingMovies_No internet service,StreamingMovies_Yes,Contract_One year,Contract_Two year,PaperlessBilling_Yes,PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check,predicted_churn,Churn_Probability,Customer_Grade,Retention_Action
0,1,29.85,29.85,0,14.925,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0.7449399141116683,Grade C (Medium Risk),Offer 10% Discount
0,34,56.95,1889.5,0,53.98571428571429,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0.11239059130270614,Grade E (Safe),No Action Required
0,2,53.85,108.15,1,36.05,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0.7189946909512166,Grade C (Medium Risk),Offer 10% Discount
0,45,42.3,1840.75,0,40.016304347826086,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0.0831608991807657,Grade E (Safe),No Action Required
0,2,70.7,151.65,1,50.55,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0.8399135046841926,Grade B (High Risk),Offer 15% Discount
0,8,99.65,820.5,1,91.16666666666669,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,1,0.9277555848851842,Grade A (Critical Risk),Offer 20% Discount + Premium Support
0,22,89.1,1949.4,0,84.75652173913043,1,0,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0.6152888893365288,Grade C (Medium Risk),Offer 10% Discount
0,10,29.75,301.9,0,27.44545454545454,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.4067843863774971,Grade D (Low Risk),Send Personalized Email
0,28,104.8,3046.05,1,105.03620689655172,0,1,0,1,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0.7789676445836926,Grade B (High Risk),Offer 15% Discount
0,62,56.15,3487.95,0,55.364285714285714,1,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.09990368266108796,Grade E (Safe),No Action Required
0,13,49.95,587.45,0,41.96071428571429,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0.2961407974793219,Grade E (Safe),No Action Required
0,16,18.95,326.8,0,19.223529411764705,1,0,0,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,0,0,0.0790406652763241,Grade E (Safe),No Action Required
0,58,100.35,5681.1,0,96.28983050847458,1,1,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,1,0,0,0,0.3866713671898754,Grade D (Low Risk),Send Personalized Email
0,49,103.7,5036.3,1,100.726,1,0,0,1,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0.7128756079633534,Grade C (Medium Risk),Offer 10% Discount
