gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,AverageMonthlySpend,Churn,predicted_churn,Churn_Probability,CLV,Priority_Score,Priority_Level,Recommendation_Reason,Retention_Action
Female,0,Yes,No,1,No,No phone service,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,29.85,29.85,14.925,0,1,0.7987583485223474,29.85,56.02,Medium,Customer is relatively new.,Welcome Offer + Personalized Email
Male,0,No,No,34,Yes,No,DSL,Yes,No,Yes,No,No,No,One year,No,Mailed check,56.95,1889.5,53.98571428571429,0,0,0.10588599401909259,1936.3000000000002,14.21,Low,Customer currently has low churn risk.,Regular Promotional Email
Male,0,No,No,2,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,53.85,108.15,36.05,1,1,0.5482625496258564,107.7,38.76,Low,Customer currently has low churn risk.,Regular Promotional Email
Male,0,No,No,45,No,No phone service,DSL,Yes,No,Yes,Yes,No,No,One year,No,Bank transfer (automatic),42.3,1840.75,40.016304347826086,0,0,0.08431995835894895,1903.4999999999998,12.58,Low,Customer currently has low churn risk.,Regular Promotional Email
Female,0,No,No,2,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,70.7,151.65,50.55,1,1,0.8695921979703621,141.4,61.37,High,Customer is still in the early stage of the relationship.,Welcome Back Offer + Free Installation
Female,0,No,No,8,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,99.65,820.5,91.16666666666669,1,1,0.90228866763031,797.2,65.96,High,Customer is still in the early stage of the relationship.,Welcome Back Offer + Free Installation
Male,0,No,Yes,22,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),89.1,1949.4,84.75652173913043,0,1,0.6847482539375721,1960.1999999999998,54.81,Medium,Customer is using a month-to-month contract.,Recommend Annual Contract
Female,0,No,No,10,No,No phone service,DSL,Yes,No,No,No,No,No,Month-to-month,No,Mailed check,29.75,301.9,27.44545454545454,0,0,0.45727831270120006,297.5,33.05,Low,Customer currently has low churn risk.,Regular Promotional Email
Female,0,Yes,No,28,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,104.8,3046.05,105.03620689655172,1,1,0.7844069429674464,2934.4,65.2,High,Customer has high monthly charges.,25% Discount
Male,0,No,Yes,62,Yes,No,DSL,Yes,Yes,No,No,No,No,One year,No,Bank transfer (automatic),56.15,3487.95,55.364285714285714,0,0,0.037120897799991934,3481.2999999999997,14.81,Low,Customer has been with the company for a long time.,Anniversary Reward Coupon
Male,0,Yes,Yes,13,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Mailed check,49.95,587.45,41.96071428571429,0,0,0.3828274984674431,649.35,29.08,Low,Customer currently has low churn risk.,Regular Promotional Email
Male,0,No,No,16,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),18.95,326.8,19.223529411764705,0,0,0.07460294028158669,303.2,6.29,Low,"Customer has a long-term contract, which generally indicates stronger retention.",Early Renewal Bonus
Male,0,Yes,No,58,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,One year,No,Credit card (automatic),100.35,5681.1,96.28983050847458,0,0,0.4047528229087882,5820.299999999999,48.75,Medium,Customer has relatively high monthly charges.,10% Discount on Monthly Bill
Male,0,No,No,49,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),103.7,5036.3,100.726,1,1,0.6871228893962048,5081.3,65.93,High,Customer has high lifetime value and should be retained.,Premium Support + Free Service Upgrade
Male,0,No,No,25,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,105.5,2686.05,103.3096153846154,0,1,0.6698571468820097,2637.5,56.14,Medium,Customer has relatively high monthly charges.,10% Discount on Monthly Bill
Female,0,Yes,Yes,69,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Credit card (automatic),113.25,7895.15,112.78785714285712,0,0,0.07533695645854524,7814.25,32.69,Low,Customer is highly valuable and currently has low churn priority.,VIP Loyalty Rewards
Female,0,No,No,52,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,20.65,1022.95,19.300943396226412,0,0,0.053495495896391326,1073.8,7.51,Low,Customer currently has low churn risk.,Regular Promotional Email
Male,0,No,Yes,71,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,Two year,No,Bank transfer (automatic),106.7,7382.25,102.53125,0,0,0.111226265983928,7575.7,34.37,Low,Customer is highly valuable and currently has low churn priority.,VIP Loyalty Rewards
Female,0,Yes,Yes,10,Yes,No,DSL,No,No,Yes,Yes,No,No,Month-to-month,No,Credit card (automatic),55.2,528.35,48.03181818181818,1,0,0.29365683818636673,552.0,22.49,Low,Customer uses automatic payment and currently has low churn priority.,Cashback Reward
Female,0,No,No,21,Yes,No,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,90.05,1862.9,84.67727272727274,0,1,0.7622598248615211,1891.05,59.99,Medium,Customer has relatively high monthly charges.,10% Discount on Monthly Bill
Male,1,No,No,1,No,No phone service,DSL,No,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,39.65,39.65,19.825,1,1,0.876942693553711,39.65,61.53,High,Customer is still in the early stage of the relationship.,Welcome Back Offer + Free Installation
Male,0,Yes,No,12,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),19.8,202.25,15.557692307692308,0,0,0.17568802864895375,237.60000000000002,13.13,Low,Customer currently has low churn risk.,Regular Promotional Email
