gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,AverageMonthlySpend,Churn,predicted_churn,Churn_Probability,CLV,Priority_Score,Priority_Level,Recommendation_Reason,Retention_Action,Revenue_At_Risk
Female,0,Yes,No,1,No,No phone service,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,29.85,29.85,14.925,0,1,0.7987583485223474,29.85,56.02,Medium,Customer is relatively new.,Welcome Offer + Personalized Email,23.84293670339207
Male,0,No,No,34,Yes,No,DSL,Yes,No,Yes,No,No,No,One year,No,Mailed check,56.95,1889.5,53.98571428571429,0,0,0.1058859940190925,1936.3,14.21,Low,Customer currently has low churn risk.,Regular Promotional Email,6.030207359387318
Male,0,No,No,2,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,53.85,108.15,36.05,1,1,0.5482625496258564,107.7,38.76,Low,Customer currently has low churn risk.,Regular Promotional Email,29.52393829735237
Male,0,No,No,45,No,No phone service,DSL,Yes,No,Yes,Yes,No,No,One year,No,Bank transfer (automatic),42.3,1840.75,40.016304347826086,0,0,0.0843199583589489,1903.5,12.58,Low,Customer currently has low churn risk.,Regular Promotional Email,3.566734238583538
Female,0,No,No,2,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,70.7,151.65,50.55,1,1,0.8695921979703621,141.4,61.37,High,Customer is still in the early stage of the relationship.,Welcome Back Offer + Free Installation,61.4801683965046
Female,0,No,No,8,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,99.65,820.5,91.16666666666669,1,1,0.90228866763031,797.2,65.96,High,Customer is still in the early stage of the relationship.,Welcome Back Offer + Free Installation,89.9130657293604
Male,0,No,Yes,22,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),89.1,1949.4,84.75652173913043,0,1,0.6847482539375721,1960.2,54.81,Medium,Customer is using a month-to-month contract.,Recommend Annual Contract,61.01106942583767
Female,0,No,No,10,No,No phone service,DSL,Yes,No,No,No,No,No,Month-to-month,No,Mailed check,29.75,301.9,27.44545454545454,0,0,0.4572783127012,297.5,33.05,Low,Customer currently has low churn risk.,Regular Promotional Email,13.6040298028607
Female,0,Yes,No,28,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,104.8,3046.05,105.03620689655172,1,1,0.7844069429674464,2934.4,65.2,High,Customer has high monthly charges.,25% Discount,82.20584762298839
Male,0,No,Yes,62,Yes,No,DSL,Yes,Yes,No,No,No,No,One year,No,Bank transfer (automatic),56.15,3487.95,55.364285714285714,0,0,0.0371208977999919,3481.3,14.81,Low,Customer has been with the company for a long time.,Anniversary Reward Coupon,2.084338411469545
Male,0,Yes,Yes,13,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Mailed check,49.95,587.45,41.96071428571429,0,0,0.3828274984674431,649.35,29.08,Low,Customer currently has low churn risk.,Regular Promotional Email,19.122233548448783
